title,price,rating,reviews,Manufacturer recommended age,country,link
"Smartivity Hydraulic Plane Launcher STEM DIY Fun Toy for Kids 6 to 12, Best Birthday Gift Toy for Boys & Girls Age 6-8-10-12, Science Toy, Educational Based Activity Game, Made in India",631,4.3,3341,6.0,India,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NzMyMzY5NDU2Njg1ODQ6MTY3NTkxNzcwNzpzcF9hdGY6MjAwODUxMTgzNDkxOTg6OjA6Og&url=%2FSmartivity-Hydraulic-Educational-Construction-Multi-Color%2Fdp%2FB08J3XJ1GK%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dtoys%26qid%3D1675917707%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Einstein Box Electricity Kit | Science Project Kit | Electronic Circuits | Toys for Kids Age 8-14,799,4.2,2002,8.0,India,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NzMyMzY5NDU2Njg1ODQ6MTY3NTkxNzcwNzpzcF9hdGY6MjAwNzk4MTg0NTU0OTg6OjA6Og&url=%2FEinstein-Electricity-Science-Electronic-Circuits%2Fdp%2FB092JH5TDR%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dtoys%26qid%3D1675917707%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Jungle Magic Doodle Waterz - Reusable I Water Colouring Book - Panchtantra Story I The Lion and The Rabbit I Self-Drying with Easy to Hold Water Pen I Educational Toy for kids,265,4.2,2487,3.0,China,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NzMyMzY5NDU2Njg1ODQ6MTY3NTkxNzcwNzpzcF9hdGY6MjAwNDExOTM4MjY2MDE6OjA6Og&url=%2FJungle-Magic-Panchatantra-Water-Reveal-Colouring%2Fdp%2FB08CVKG6FQ%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dtoys%26qid%3D1675917707%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Transformers Toys Studio Series 84 Deluxe Class Bumblebee Ironhide Action Figure - Ages 8 and Up, 4.5-inch",2699,4.4,3,8.0,Vietnam,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NzMyMzY5NDU2Njg1ODQ6MTY3NTkxNzcwNzpzcF9hdGY6MjAxMTAwMjk1NDY3OTg6OjA6Og&url=%2FTransformers-Studio-Deluxe-Bumblebee-Ironhide%2Fdp%2FB09H23V6GM%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dtoys%26qid%3D1675917707%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
SHINETOY ENTERTAIN KIDS TikTok Dancing Plush Toy (Talking Cactus),540,4.0,1464,1.0,China,https://www.amazon.in/SHINETOY-Dancing-Charging-Recording-Repeats/dp/B09HP8VJBB/ref=sr_1_5?keywords=toys&qid=1675917707&sr=8-5
"Storio Kids Toys LCD Writing Tablet 8.5Inch E-Note Pad Best Birthday Gift for Girls Boys, Multicolor (SC1667)",237,3.8,7973,1.5,India,https://www.amazon.in/Storio-Writing-Tablet-8-5Inch-Birthday/dp/B09CTRPSJR/ref=sr_1_6?keywords=toys&qid=1675917707&sr=8-6
Vebeto Dancing Cactus Talking Toy Kids 1 Year Warranty Children Electronic Plush Toys Baby Singing Wriggle Voice Recording Repeat What You Say LED Lights Toddler Educational Funny Gift Home Decoration,799,4.3,6751,0.5,India,https://www.amazon.in/VEBETO-Recording-Education-Children-Decoration/dp/B09QCYZT4S/ref=sr_1_7?keywords=toys&qid=1675917707&sr=8-7
"TENGOKU 15"" Boba Tea Plushie Authentic Brand Super Soft Plushie (Happy Boba)",1499,4.7,137,0.42,India,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MjI1ODQwNzIzNzA3OTc0OjE2NzU5MTc3MDc6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDU2NTI2ODk1NTk4OjowOjo&url=%2FTENGOKU-Plushie-Authentic-Brand-Super%2Fdp%2FB08R5TLXVD%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.4d22510d-eb67-42e3-80e4-dd492aa3a3e0%253Aamzn1.sym.4d22510d-eb67-42e3-80e4-dd492aa3a3e0%26cv_ct_cx%3Dtoys%26keywords%3Dtoys%26pd_rd_i%3DB08R5TLXVD%26pd_rd_r%3D1cc208a0-3a0f-42de-b0a9-646526bdf8ad%26pd_rd_w%3D4gECn%26pd_rd_wg%3D9hrPb%26pf_rd_p%3D4d22510d-eb67-42e3-80e4-dd492aa3a3e0%26pf_rd_r%3D92Q8W9Q48Y89R918NDDP%26qid%3D1675917707%26sr%3D1-1-5b19f378-d955-407f-848e-18f7f0908484-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
Little Innocents BPA-Free Non Toxic Toddler Baby Rattles 9-Piece Rattle Set-1,399,4.3,1361,0.25,India,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MjI1ODQwNzIzNzA3OTc0OjE2NzU5MTc3MDc6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDQ2MzU1ODUwMTk4OjoxOjo&url=%2FLittle-Innocents-BPA-Free-Colorful-Multicolor%2Fdp%2FB09BCL4LCS%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.4d22510d-eb67-42e3-80e4-dd492aa3a3e0%253Aamzn1.sym.4d22510d-eb67-42e3-80e4-dd492aa3a3e0%26cv_ct_cx%3Dtoys%26keywords%3Dtoys%26pd_rd_i%3DB09BCL4LCS%26pd_rd_r%3D1cc208a0-3a0f-42de-b0a9-646526bdf8ad%26pd_rd_w%3D4gECn%26pd_rd_wg%3D9hrPb%26pf_rd_p%3D4d22510d-eb67-42e3-80e4-dd492aa3a3e0%26pf_rd_r%3D92Q8W9Q48Y89R918NDDP%26qid%3D1675917707%26sr%3D1-2-5b19f378-d955-407f-848e-18f7f0908484-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1%26smid%3DA1721XIG2WQFCJ
"AYREST Upgraded USB Charging Dancing Cactus Talking Toy for Baby. Funny Mimicking Copy Cactus Tree, Dancing Singing & Recording, Musical Cactus Plush Toy, Entertaining Education Toys for Children (Talking Cactus Toy)",569,4.0,77,0.5,China,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MjI1ODQwNzIzNzA3OTc0OjE2NzU5MTc3MDc6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMTEyMjg3NTQ2Nzk4OjoyOjo&url=%2FCharging-Mimicking-Recording-Entertaining-Education%2Fdp%2FB09R84ZL4L%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.4d22510d-eb67-42e3-80e4-dd492aa3a3e0%253Aamzn1.sym.4d22510d-eb67-42e3-80e4-dd492aa3a3e0%26cv_ct_cx%3Dtoys%26keywords%3Dtoys%26pd_rd_i%3DB09R84ZL4L%26pd_rd_r%3D1cc208a0-3a0f-42de-b0a9-646526bdf8ad%26pd_rd_w%3D4gECn%26pd_rd_wg%3D9hrPb%26pf_rd_p%3D4d22510d-eb67-42e3-80e4-dd492aa3a3e0%26pf_rd_r%3D92Q8W9Q48Y89R918NDDP%26qid%3D1675917707%26sr%3D1-3-5b19f378-d955-407f-848e-18f7f0908484-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1%26smid%3DA1B21AJJE1EEMP
